sat_id,toc_time,toe_s,af0_s,af1_s_per_s,af2_s_per_s2,sqrt_a_sqrt_m,eccentricity,i0_rad,omega0_rad,omega_rad,m0_rad,delta_n_rad_s,health,is_healthy
C27,2026-04-30 05:00:00,363600.0,0.0006265725241974,4.877875880993e-12,0.0,5282.653402328,0.0007505289977416,0.94855248967,1.570637345636,1.481308574585,0.6752425591115,4.35625288399e-09,0.0,True
C27,2026-04-30 06:00:00,367200.0,0.0006265899864957,4.868994096796e-12,0.0,5282.654178619,0.0007506551919505,0.9485515929012,1.570610969223,1.481810844101,1.162301248158,4.401254758498e-09,0.0,True
C27,2026-04-30 07:00:00,370800.0,0.000626607099548,4.839684208946e-12,0.0,5282.65596199,0.0007506177062169,0.9485506654112,1.570584099806,1.483026098927,1.648646943117,4.419469802942e-09,0.0,True
C27,2026-04-30 08:00:00,374400.0,0.0006266249110922,4.861888669438e-12,0.0,5282.655887604,0.0007506757974625,0.9485499134713,1.570557044599,1.483001669658,2.136231908165,4.454828418628e-09,0.0,True
C27,2026-04-30 09:00:00,378000.0,0.0006266426062211,4.878764059413e-12,0.0,5282.655017853,0.0007510596187785,0.9485492302885,1.570530061075,1.482684356875,2.624109926426,4.486972614705e-09,0.0,True
C27,2026-04-30 10:00:00,381600.0,0.0006266607670113,4.928502050916e-12,0.0,5282.655721664,0.0007506994297728,0.9485484754228,1.570503067311,1.48268119112,3.111674172165,4.485186826034e-09,0.0,True
C27,2026-04-30 11:00:00,385200.0,0.000626677996479,4.895639449387e-12,0.0,5282.656757355,0.0007502101361752,0.9485477293346,1.570475925792,1.48241426855,-2.683683313862,4.469829043464e-09,0.0,True
C27,2026-04-30 12:00:00,388800.0,0.0006266960408539,4.940048370372e-12,0.0,5282.655927658,0.0007504418026656,0.9485471748886,1.570448746237,1.482896750636,-2.196605181171,4.471257674401e-09,0.0,True
C27,2026-04-30 13:00:00,392400.0,0.0006267133867368,4.904521233584e-12,0.0,5282.654468536,0.000750572886318,0.9485467433278,1.570421837322,1.48388021487,-1.710027803876,4.488044087908e-09,0.0,True
C27,2026-04-30 14:00:00,396000.0,0.0006267307326198,4.88675766519e-12,0.0,5282.654870987,0.0007506696274504,0.9485461435314,1.57039510542,1.48363931615,-1.222225624752,4.503401870478e-09,0.0,True
C27,2026-04-30 15:00:00,399600.0,0.0006267478456721,4.840572387366e-12,0.0,5282.656780243,0.0007513777818531,0.9485454281645,1.570368143839,1.482751244415,-0.7337762726128,4.511973656099e-09,0.0,True
C27,2026-04-30 16:00:00,403200.0,0.0006267653079703,4.836131495267e-12,0.0,5282.657541275,0.0007517402991652,0.9485448956623,1.570340867732,1.482560166833,-0.2460243520389,4.528402911872e-09,0.0,True
C27,2026-04-30 17:00:00,406800.0,0.000626782537438,4.82636153265e-12,0.0,5282.656101227,0.0007510265568271,0.9485447127975,1.570313502386,1.482299059363,0.241797479927,4.552332480063e-09,0.0,True
C27,2026-04-30 18:00:00,410400.0,0.0006267997669056,4.809486142676e-12,0.0,5282.654430389,0.000750363455154,0.9485448356826,1.570286335997,1.481569796163,0.7300879299042,4.566618789431e-09,0.0,True
C27,2026-04-30 19:00:00,414000.0,0.0006268174620345,4.851230528402e-12,0.0,5282.654972076,0.0007504264358431,0.9485449995295,1.570259473896,1.481937319221,1.217281991538,4.554118268734e-09,0.0,True
C27,2026-04-30 20:00:00,417600.0,0.0006268349243328,4.853006885241e-12,0.0,5282.657159805,0.00075030233711,0.9485450492687,1.570232641052,1.483426429385,1.703354176407,4.519831126251e-09,0.0,True
C27,2026-04-30 21:00:00,421200.0,0.0006268525030464,4.860112312599e-12,0.0,5282.657913208,0.0007501225918531,0.9485451194887,1.57020566338,1.483887810341,2.190453363415,4.499115977668e-09,0.0,True
