sat_id,toc,toe,af0,af1,af2,sqrtA,e,i0,Omega0,omega,M0,DeltaN,IDOT,Cuc,Cus,Crc,Crs,Cic,Cis,health,is_healthy,parse_status
C32,2026-04-01 17:00:00,320400.0,-0.000931280257646,3.97015753606e-12,0.0,62.234375,0.0007612964254804,0.9868703942446,-2.116014088457,-0.6053734724179,0.1026857134321,3.51068194828e-09,3.932306653499e-10,3.255903720856e-06,6.245449185371e-06,246.9296875,65.23828125,1.862645149231e-09,-1.490116119385e-08,0.0,yes,ok
C32,2026-04-01 18:00:00,324000.0,-0.0009312658803537,3.976374784997e-12,0.0,42.140625,0.0007605085265823,0.9868717767021,-2.116038479691,-0.6044972773837,0.5893765992725,3.584970756993e-09,3.946592962867e-10,3.403052687645e-06,6.329268217087e-06,244.93359375,68.66015625,-4.656612873077e-09,-2.048909664154e-08,0.0,yes,ok
C32,2026-04-01 18:00:00,324000.0,-0.0009312658803537,3.976374784997e-12,0.0,42.140625,0.0007605085265823,0.9868717767021,-2.116038479691,-0.6044972773837,0.5893765992725,3.584970756993e-09,3.946592962867e-10,3.403052687645e-06,6.329268217087e-06,244.93359375,68.66015625,-4.656612873077e-09,-2.048909664154e-08,0.0,yes,ok
C32,2026-04-01 19:00:00,327600.0,-0.0009312516194768,3.96926935764e-12,0.0,30.548828125,0.0007588606094941,0.986873091134,-2.116062967476,-0.603876456644,1.076324793385,3.65283072649e-09,4.101956577242e-10,3.457069396973e-06,6.590969860554e-06,238.50390625,69.94921875,1.769512891769e-08,-5.215406417847e-08,0.0,yes,ok
C32,2026-04-01 19:00:00,327600.0,-0.0009312516194768,3.96926935764e-12,0.0,30.548828125,0.0007588606094941,0.986873091134,-2.116062967476,-0.603876456644,1.076324793385,3.65283072649e-09,4.101956577242e-10,3.457069396973e-06,6.590969860554e-06,238.50390625,69.94921875,1.769512891769e-08,-5.215406417847e-08,0.0,yes,ok
C32,2026-04-01 20:00:00,331200.0,-0.0009312371257693,3.995914710231e-12,0.0,45.66796875,0.0007590277818963,0.9868744457962,-2.116087655682,-0.6037412376631,1.563755525174,3.669617139998e-09,4.512687971568e-10,3.509223461151e-06,6.566755473614e-06,238.6328125,70.75390625,8.195638656616e-08,-2.142041921616e-08,0.0,yes,ok
C32,2026-04-01 20:00:00,331200.0,-0.0009312371257693,3.995914710231e-12,0.0,45.66796875,0.0007590277818963,0.9868744457962,-2.116087655682,-0.6037412376631,1.563755525174,3.669617139998e-09,4.512687971568e-10,3.509223461151e-06,6.566755473614e-06,238.6328125,70.75390625,8.195638656616e-08,-2.142041921616e-08,0.0,yes,ok
C32,2026-04-01 21:00:00,334800.0,-0.0009312224574387,4.019895527563e-12,0.0,64.65234375,0.000760298629757,0.9868759957579,-2.116112496762,-0.6023020583555,2.049879321793,3.659080986839e-09,5.039495629507e-10,3.802590072155e-06,6.630085408688e-06,237.30078125,77.0703125,5.494803190231e-08,6.146728992462e-08,0.0,yes,ok
C32,2026-04-01 21:00:00,334800.0,-0.0009312224574387,4.019895527563e-12,0.0,64.65234375,0.000760298629757,0.9868759957579,-2.116112496762,-0.6023020583555,2.049879321793,3.659080986839e-09,5.039495629507e-10,3.802590072155e-06,6.630085408688e-06,237.30078125,77.0703125,5.494803190231e-08,6.146728992462e-08,0.0,yes,ok
C32,2026-04-01 22:00:00,338400.0,-0.000931209360715,3.91064958194e-12,0.0,59.404296875,0.0007604851853102,0.986877841229,-2.116137322482,-0.6019208921241,2.537063265154,3.676581715814e-09,5.42879755978e-10,3.858469426632e-06,6.710179150105e-06,236.3671875,78.015625,-1.862645149231e-08,4.936009645462e-08,0.0,yes,ok
