sat_id,toc_time,toe,af0,af1,af2,sqrtA,e,i0,Omega0,omega,M0,delta_n,health
C34,2026-04-01 11:00:00,298800.0,0.0009160244371742,8.043343768804e-12,0.0,-60.341796875,0.0007157940417528,0.944801991961,2.029785061609,1.010312254989,0.07660496425282,4.423577116886e-09,0.0
C34,2026-04-01 11:00:00,298800.0,0.0009160244371742,8.043343768804e-12,0.0,-60.341796875,0.0007157940417528,0.944801991961,2.029785061609,1.010312254989,0.07660496425282,4.423577116886e-09,0.0
C34,2026-04-01 12:00:00,302400.0,0.0009160518529825,7.880807117999e-12,0.0,-89.630859375,0.0007147153955884,0.944800304485,2.029758552802,1.011696040172,0.5627955540538,4.475543567211e-09,0.0
C34,2026-04-01 12:00:00,302400.0,0.0009160518529825,7.880807117999e-12,0.0,-89.630859375,0.0007147153955884,0.944800304485,2.029758552802,1.011696040172,0.5627955540538,4.475543567211e-09,0.0
C34,2026-04-01 13:00:00,306000.0,0.0009160810732283,7.977618565747e-12,0.0,-103.85546875,0.0007130124722607,0.9447985906765,2.029732103975,1.012483939323,1.049583350902,4.51500949684e-09,0.0
C34,2026-04-01 13:00:00,306000.0,0.0009160810732283,7.977618565747e-12,0.0,-103.85546875,0.0007130124722607,0.9447985906765,2.029732103975,1.012483939323,1.049583350902,4.51500949684e-09,0.0
C34,2026-04-01 14:00:00,309600.0,0.0009161112830043,8.141931573391e-12,0.0,-89.064453125,0.0007135720225051,0.9447967708064,2.029705644907,1.012719459625,1.53691952113,4.523759861328e-09,0.0
C34,2026-04-01 14:00:00,309600.0,0.0009161112830043,8.141931573391e-12,0.0,-89.064453125,0.0007135720225051,0.9447967708064,2.029705644907,1.012719459625,1.53691952113,4.523759861328e-09,0.0
C34,2026-04-01 15:00:00,313200.0,0.0009161400375888,8.095746295567e-12,0.0,-78.0234375,0.0007147047435865,0.9447948543837,2.02967902565,1.01393502971,2.023273885341,4.545546483114e-09,0.0
C34,2026-04-01 15:00:00,313200.0,0.0009161400375888,8.095746295567e-12,0.0,-78.0234375,0.0007147047435865,0.9447948543837,2.02967902565,1.01393502971,2.023273885341,4.545546483114e-09,0.0
C34,2026-04-01 16:00:00,316800.0,0.0009161690250039,8.081535440851e-12,0.0,-90.45703125,0.0007145772688091,0.9447929196746,2.029652148187,1.013293530623,2.511488777794,4.601977405117e-09,0.0
C34,2026-04-01 16:00:00,316800.0,0.0009161690250039,8.081535440851e-12,0.0,-90.45703125,0.0007145772688091,0.9447929196746,2.029652148187,1.013293530623,2.511488777794,4.601977405117e-09,0.0
